timestamp,open,high,low,close
2026-03-16 09:30:00,46707.40,46954.38,46707.40,46933.98
2026-03-16 09:31:00,46930.62,46948.99,46913.75,46932.80
2026-03-16 09:32:00,46930.13,46937.31,46890.90,46890.90
2026-03-16 09:33:00,46894.30,46902.54,46871.55,46890.82
2026-03-16 09:34:00,46893.39,46903.69,46885.72,46892.97
2026-03-16 09:35:00,46886.75,46906.63,46879.06,46901.07
2026-03-16 09:36:00,46902.53,46906.02,46878.86,46898.19
2026-03-16 09:37:00,46893.83,46904.48,46862.99,46869.73
2026-03-16 09:38:00,46865.82,46880.19,46853.77,46865.08
2026-03-16 09:39:00,46866.74,46888.46,46856.01,46886.28
2026-03-16 09:40:00,46896.08,46963.68,46882.99,46963.68
2026-03-16 09:41:00,46968.87,46980.18,46959.67,46971.61
2026-03-16 09:42:00,46974.62,47012.82,46967.52,47003.07
2026-03-16 09:43:00,47001.47,47014.34,46992.47,46995.19
2026-03-16 09:44:00,46996.43,47031.07,46995.20,47027.12
2026-03-16 09:45:00,47027.85,47062.10,47021.55,47062.10
2026-03-16 09:46:00,47061.24,47083.65,47046.56,47082.30
2026-03-16 09:47:00,47082.92,47092.29,47075.44,47092.29
2026-03-16 09:48:00,47092.84,47093.71,47019.24,47019.24
2026-03-16 09:49:00,47015.68,47038.98,46998.67,47038.43
2026-03-16 09:50:00,47037.77,47045.82,47022.58,47038.34
2026-03-16 09:51:00,47037.65,47058.29,47034.28,47040.52
2026-03-16 09:52:00,47041.45,47052.08,47028.04,47035.83
2026-03-16 09:53:00,47037.75,47053.16,47031.67,47051.37
2026-03-16 09:54:00,47053.26,47055.41,47041.91,47045.77
2026-03-16 09:55:00,47045.28,47048.48,47030.41,47041.41
2026-03-16 09:56:00,47043.00,47076.74,47028.87,47076.74
2026-03-16 09:57:00,47078.38,47114.79,47078.38,47111.72
2026-03-16 09:58:00,47112.92,47134.81,47112.92,47129.49
2026-03-16 09:59:00,47131.53,47135.08,47121.64,47135.08
2026-03-16 10:00:00,47132.46,47132.46,47071.57,47104.12
2026-03-16 10:01:00,47103.89,47105.05,47068.34,47102.34
2026-03-16 10:02:00,47103.92,47150.20,47097.54,47149.40
2026-03-16 10:03:00,47150.60,47150.60,47099.25,47099.25
2026-03-16 10:04:00,47100.35,47101.71,47081.54,47083.60
2026-03-16 10:05:00,47093.37,47093.37,47066.46,47066.46
2026-03-16 10:06:00,47067.28,47089.33,47056.67,47089.26
2026-03-16 10:07:00,47088.96,47096.14,47077.83,47092.86
2026-03-16 10:08:00,47093.78,47119.48,47087.64,47119.48
2026-03-16 10:09:00,47120.15,47130.55,47114.46,47114.46
2026-03-16 10:10:00,47116.90,47174.90,47113.81,47173.41
2026-03-16 10:11:00,47171.32,47176.14,47126.82,47130.70
2026-03-16 10:12:00,47130.13,47139.12,47090.24,47090.24
2026-03-16 10:13:00,47088.23,47103.57,47088.23,47103.57
2026-03-16 10:14:00,47105.28,47114.45,47086.70,47113.72
2026-03-16 10:15:00,47106.55,47115.36,47078.16,47096.40
2026-03-16 10:16:00,47099.28,47113.17,47089.51,47108.78
2026-03-16 10:17:00,47109.23,47111.36,47077.92,47111.36
2026-03-16 10:18:00,47112.48,47133.10,47108.27,47125.52
2026-03-16 10:19:00,47126.72,47126.72,47073.34,47076.68
2026-03-16 10:20:00,47075.33,47107.93,47075.33,47102.34
2026-03-16 10:21:00,47103.04,47136.52,47102.54,47130.29
2026-03-16 10:22:00,47129.69,47134.48,47116.72,47117.84
2026-03-16 10:23:00,47118.02,47131.88,47112.54,47112.54
2026-03-16 10:24:00,47114.36,47117.83,47097.77,47110.86
2026-03-16 10:25:00,47110.28,47116.10,47083.24,47083.24
2026-03-16 10:26:00,47086.22,47112.37,47085.32,47109.02
2026-03-16 10:27:00,47109.52,47110.81,47096.23,47104.57
2026-03-16 10:28:00,47097.84,47104.77,47092.75,47097.74
2026-03-16 10:29:00,47097.68,47097.68,47070.13,47070.13
2026-03-16 10:30:00,47068.80,47074.66,47026.20,47027.24
2026-03-16 10:31:00,47025.31,47043.96,47021.57,47028.92
2026-03-16 10:32:00,47027.34,47055.18,47014.53,47014.53
2026-03-16 10:33:00,47016.57,47021.62,46995.38,46995.38
2026-03-16 10:34:00,46994.83,46994.83,46970.21,46977.13
2026-03-16 10:35:00,46977.35,47012.19,46975.11,47007.99
2026-03-16 10:36:00,47009.65,47020.63,46984.27,46990.89
2026-03-16 10:37:00,46992.09,46994.90,46984.82,46985.62
2026-03-16 10:38:00,46986.69,46992.01,46937.82,46937.82
2026-03-16 10:39:00,46931.51,46954.32,46931.51,46936.77
2026-03-16 10:40:00,46934.59,46946.26,46901.18,46901.18
